date,feature_adoption_rate,lag_1,lag_2,rolling_mean,rolling_std,trend
2025-03-31,1250.96,1155.73,1137.58,1181.4233333333334,60.900464968121014,18.15000000000009
2025-04-30,1048.15,1250.96,1155.73,1151.6133333333335,101.46765116692775,95.23000000000002
2025-05-31,1303.9,1048.15,1250.96,1201.0033333333333,134.99543337955294,-202.80999999999995
2025-06-30,1230.4,1303.9,1048.15,1194.15,131.67217815468834,255.75
2025-07-31,1209.25,1230.4,1303.9,1247.8500000000001,49.679296492602916,-73.5
2025-08-31,1166.07,1209.25,1230.4,1201.9066666666668,32.78765977213569,-21.15000000000009
2025-09-30,1138.46,1166.07,1209.25,1171.26,35.67923906139267,-43.180000000000064
2025-10-31,1274.32,1138.46,1166.07,1192.95,71.80797796902503,-27.6099999999999
2025-11-30,1214.81,1274.32,1138.46,1209.1966666666665,68.10372260995211,135.8599999999999
2025-12-31,1197.65,1214.81,1274.32,1228.9266666666667,40.237202106176376,-59.50999999999999
2026-01-31,1243.1569672060878,1197.65,1214.81,1218.5389890686959,22.981515086690646,-17.159999999999854
2026-02-28,1130.7773703387322,1243.1569672060878,1197.65,1190.5281125149402,56.52728906492622,45.506967206087666
2026-03-31,1298.9987217115176,1130.7773703387322,1243.1569672060878,1224.3110197521125,85.6795370318957,-112.37959686735553
2026-04-30,1117.674335406105,1298.9987217115176,1130.7773703387322,1182.483475818785,101.1176259372935,168.22135137278542
2026-05-31,1168.1618429911218,1117.674335406105,1298.9987217115176,1194.9449667029148,93.5822368512291,-181.32438630541265
2026-06-30,1141.7605201783822,1168.1618429911218,1117.674335406105,1142.5322328585364,25.252599091626646,50.48750758501683
2026-07-31,1245.2643909264073,1141.7605201783822,1168.1618429911218,1185.0622513653036,53.78178750624223,-26.401322812739636
2026-08-31,1190.639983654227,1245.2643909264073,1141.7605201783822,1192.554964919672,51.77850113600476,103.50387074802507
2026-09-30,1232.8718311944522,1190.639983654227,1245.2643909264073,1222.9254019250286,28.638349443848025,-54.62440727218018
2026-10-31,1207.5502862375304,1232.8718311944522,1190.639983654227,1210.3540336954031,21.255069666337082,42.23184754022509
2026-11-30,1225.3029577014506,1207.5502862375304,1232.8718311944522,1221.908358377811,12.99760124705184,-25.321544956921798
2026-12-31,1182.122204162434,1225.3029577014506,1207.5502862375304,1204.991816033805,21.703771478405336,17.75267146392025
2027-01-31,1297.4010665969838,1182.122204162434,1225.3029577014506,1234.9420761536228,58.240780252776204,-43.18075353901668
2027-02-28,1100.7035667911628,1297.4010665969838,1182.122204162434,1193.4089458501937,98.83329151105879,115.27886243454986
2027-03-31,1091.9057852431717,1100.7035667911628,1297.4010665969838,1163.3368062104394,116.1863575243884,-196.69749980582105
2027-04-30,1148.3826412489425,1091.9057852431717,1100.7035667911628,1113.6639977610923,30.387306466171868,-8.797781547991008
2027-05-31,1200.1036775457746,1148.3826412489425,1091.9057852431717,1146.7973680126295,54.11636345050218,56.47685600577074
2027-06-30,1075.84678247855,1200.1036775457746,1148.3826412489425,1141.444367091089,62.41833648179105,51.72103629683215
2027-07-31,1126.2401501161837,1075.84678247855,1200.1036775457746,1134.0635367135028,62.496784127867635,-124.2568950672246
2027-08-31,1129.7618626144224,1126.2401501161837,1075.84678247855,1110.6162650697188,30.162697234721055,50.39336763763367
2027-09-30,1084.0815414425035,1129.7618626144224,1126.2401501161837,1113.3611847243699,25.417980796382302,3.521712498238685
2027-10-31,1095.1455019873986,1084.0815414425035,1129.7618626144224,1102.996302014775,23.830636403483265,-45.68032117191888
2027-11-30,1233.4684060510592,1095.1455019873986,1084.0815414425035,1137.5651498269872,83.23868524622377,11.063960544895053
2027-12-31,1149.6368735549797,1233.4684060510592,1095.1455019873986,1159.4169271978126,69.67814244146993,138.32290406366064
2028-01-31,1225.1638135206213,1149.6368735549797,1233.4684060510592,1202.7563643755536,46.18984512911798,-83.83153249607949
2028-02-29,1209.8949586674735,1225.1638135206213,1149.6368735549797,1194.8985485810247,39.934307327836784,75.52693996564153
2028-03-31,1122.7902239237155,1209.8949586674735,1225.1638135206213,1185.9496653706035,55.227898430447254,-15.268854853147786
2028-04-30,1203.5171901058793,1122.7902239237155,1209.8949586674735,1178.7341242323562,48.553671017377226,-87.10473474375794
2028-05-31,1234.748304314605,1203.5171901058793,1122.7902239237155,1187.0185727814,57.77375028001867,80.72696618216378
2028-06-30,1157.2925705699654,1234.748304314605,1203.5171901058793,1198.5193549968164,38.968980475670186,31.231114208725785
2028-07-31,1280.6861480051625,1157.2925705699654,1234.748304314605,1224.2423409632443,62.364053648869195,-77.4557337446397
2028-08-31,1128.2273944444146,1280.6861480051625,1157.2925705699654,1188.7353710065142,80.94692803802815,123.39357743519713
2028-09-30,1125.109207170906,1128.2273944444146,1280.6861480051625,1178.0075832068278,88.9359124580874,-152.45875356074794
2028-10-31,1185.1531307554628,1125.109207170906,1128.2273944444146,1146.1632441235945,33.80220728950609,-3.1181872735085108
2028-11-30,1133.0901544350825,1185.1531307554628,1125.109207170906,1147.7841641204839,32.60757013843764,60.04392358455675
2028-12-31,1144.1415519178179,1133.0901544350825,1185.1531307554628,1154.128279036121,27.430629134888672,-52.06297632038036
