date,opex_ratio_monthly_sum
2025-01-31,23.198580204657812
2025-02-28,20.796135219316113
2025-03-31,23.3589988572536
2025-04-30,22.53543128886106
2025-05-31,23.14375100622207
2025-06-30,22.520320938622163
2025-07-31,23.792547373307176
2025-08-31,23.063340925325964
2025-09-30,22.347632726203
2025-10-31,23.05713255611632
2025-11-30,22.473169121519373
2025-12-31,23.203653507940842
2026-01-31,23.244212739870278
2026-02-28,21.19319848753224
2026-03-31,23.657854298593026
2026-04-30,22.5420210906268
2026-05-31,23.62309866326149
2026-06-30,22.41096022983858
2026-07-31,23.093024058637987
2026-08-31,23.184239744302584
2026-09-30,22.37944871656179
2026-10-31,23.128371361225295
2026-11-30,22.472407059013932
2026-12-31,23.2548264508839
2027-01-31,23.145731467488464
2027-02-28,21.003816668878923
2027-03-31,23.211657148228706
2027-04-30,22.36634980021265
2027-05-31,23.43412253278587
2027-06-30,22.473648863244353
2027-07-31,22.940100636566033
2027-08-31,23.187049982740014
2027-09-30,22.430104808044902
2027-10-31,23.376156748532956
2027-11-30,22.21118804948701
2027-12-31,23.46714784229618
2028-01-31,23.19110136314407
2028-02-29,21.560744808881857
2028-03-31,23.307103309216185
2028-04-30,22.257405880421118
2028-05-31,23.083149516605143
2028-06-30,22.702085651680164
2028-07-31,23.06438042995833
2028-08-31,22.8709769081286
2028-09-30,22.913048875090197
2028-10-31,23.2722260477744
2028-11-30,22.560563644231117
2028-12-31,22.080212386132317
